-20	810	183	17	17.00	0.00
-15	810	183	18	18.00	0.00
-10	810	183	30	30.00	0.00
-5	810	183	156	156.00	0.00
0	810	183	175	175.00	0.00
5	810	183	23	23.00	0.00
10	810	183	10	10.00	0.00
15	810	183	12	12.00	0.00
20	810	183	8	8.00	0.00
-20	810	186	9	9.00	0.00
-15	810	186	15	15.00	0.00
-10	810	186	52	52.00	0.00
-5	810	186	380	380.00	0.00
0	810	186	345	345.00	0.00
5	810	186	68	68.00	0.00
10	810	186	15	15.00	0.00
15	810	186	15	15.00	0.00
20	810	186	12	12.00	0.00
-20	810	189	8	8.00	0.00
-15	810	189	13	13.00	0.00
-10	810	189	48	48.00	0.00
-5	810	189	174	174.00	0.00
0	810	189	184	184.00	0.00
5	810	189	36	36.00	0.00
10	810	189	11	11.00	0.00
15	810	189	12	12.00	0.00
20	810	189	12	12.00	0.00
-20	810	192	16	16.00	0.00
-15	810	192	13	13.00	0.00
-10	810	192	14	14.00	0.00
-5	810	192	36	36.00	0.00
0	810	192	26	26.00	0.00
5	810	192	17	17.00	0.00
10	810	192	12	12.00	0.00
15	810	192	8	8.00	0.00
20	810	192	10	10.00	0.00
-20	810	195	5	5.00	0.00
-15	810	195	6	6.00	0.00
-10	810	195	11	11.00	0.00
-5	810	195	14	14.00	0.00
0	810	195	12	12.00	0.00
5	810	195	10	10.00	0.00
10	810	195	6	6.00	0.00
15	810	195	13	13.00	0.00
20	810	195	15	15.00	0.00
-20	810	198	12	12.00	0.00
-15	810	198	5	5.00	0.00
-10	810	198	17	17.00	0.00
-5	810	198	7	7.00	0.00
0	810	198	12	12.00	0.00
5	810	198	8	8.00	0.00
10	810	198	13	13.00	0.00
15	810	198	11	11.00	0.00
20	810	198	6	6.00	0.00
-20	810	201	13	13.00	0.00
-15	810	201	12	12.00	0.00
-10	810	201	7	7.00	0.00
-5	810	201	23	23.00	0.00
0	810	201	11	11.00	0.00
5	810	201	6	6.00	0.00
10	810	201	8	8.00	0.00
15	810	201	10	10.00	0.00
20	810	201	14	14.00	0.00
-20	810	204	7	7.00	0.00
-15	810	204	4	4.00	0.00
-10	810	204	8	8.00	0.00
-5	810	204	14	14.00	0.00
0	810	204	9	9.00	0.00
5	810	204	10	10.00	0.00
10	810	204	18	18.00	0.00
15	810	204	7	7.00	0.00
20	810	204	8	8.00	0.00
-20	810	174	10	10.00	0.00
-15	810	174	11	11.00	0.00
-10	810	174	18	18.00	0.00
-5	810	174	15	15.00	0.00
0	810	174	11	11.00	0.00
5	810	174	8	8.00	0.00
10	810	174	17	17.00	0.00
15	810	174	4	4.00	0.00
20	810	174	10	10.00	0.00
-20	810	177	10	10.00	0.00
-15	810	177	7	7.00	0.00
-10	810	177	13	13.00	0.00
-5	810	177	22	22.00	0.00
0	810	177	19	19.00	0.00
5	810	177	9	9.00	0.00
10	810	177	6	6.00	0.00
15	810	177	15	15.00	0.00
20	810	177	11	11.00	0.00
-20	810	180	8	8.00	0.00
-15	810	180	9	9.00	0.00
-10	810	180	16	16.00	0.00
-5	810	180	43	43.00	0.00
0	810	180	41	41.00	0.00
5	810	180	10	10.00	0.00
10	810	180	18	18.00	0.00
15	810	180	12	12.00	0.00
20	810	180	9	9.00	0.00
-20	810	183	7	7.00	0.00
-15	810	183	8	8.00	0.00
-10	810	183	26	26.00	0.00
-5	810	183	167	167.00	0.00
0	810	183	201	201.00	0.00
5	810	183	25	25.00	0.00
10	810	183	4	4.00	0.00
15	810	183	9	9.00	0.00
20	810	183	15	15.00	0.00
-20	810	186	7	7.00	0.00
-15	810	186	14	14.00	0.00
-10	810	186	58	58.00	0.00
-5	810	186	395	395.00	0.00
0	810	186	337	337.00	0.00
5	810	186	52	52.00	0.00
10	810	186	11	11.00	0.00
15	810	186	5	5.00	0.00
20	810	186	11	11.00	0.00
-20	810	189	10	10.00	0.00
-15	810	189	18	18.00	0.00
-10	810	189	46	46.00	0.00
-5	810	189	177	177.00	0.00
0	810	189	177	177.00	0.00
5	810	189	25	25.00	0.00
10	810	189	10	10.00	0.00
15	810	189	12	12.00	0.00
20	810	189	12	12.00	0.00
-20	810	192	10	10.00	0.00
-15	810	192	15	15.00	0.00
-10	810	192	20	20.00	0.00
-5	810	192	28	28.00	0.00
0	810	192	33	33.00	0.00
