vi=810	vf=54	n=0	mode=S=1	delay=0.004052
vi=810	vf=54	n=0	mode=SF	delay=0.004087
vi=810	vf=256	n=32	mode=S=1	delay=0.003240
vi=810	vf=256	n=32	mode=SF	delay=0.003248
vi=810	vf=358	n=64	mode=S=1	delay=0.002919
vi=810	vf=358	n=64	mode=SF	delay=0.002925
vi=810	vf=437	n=96	mode=S=1	delay=0.002715
vi=810	vf=437	n=96	mode=SF	delay=0.002720
vi=810	vf=504	n=128	mode=S=1	delay=0.002574
vi=810	vf=504	n=128	mode=SF	delay=0.002577
vi=810	vf=563	n=160	mode=S=1	delay=0.002472
vi=810	vf=563	n=160	mode=SF	delay=0.002475
vi=810	vf=616	n=192	mode=S=1	delay=0.002398
vi=810	vf=616	n=192	mode=SF	delay=0.002401
vi=810	vf=665	n=224	mode=S=1	delay=0.002346
vi=810	vf=665	n=224	mode=SF	delay=0.002349
vi=810	vf=711	n=256	mode=S=1	delay=0.002311
vi=810	vf=711	n=256	mode=SF	delay=0.002314
vi=810	vf=753	n=288	mode=S=1	delay=0.002290
vi=810	vf=753	n=288	mode=SF	delay=0.002293
vi=810	vf=794	n=320	mode=S=1	delay=0.002281
vi=810	vf=794	n=320	mode=SF	delay=0.002284
