-100.00	32	32.00	0.00
-85.71	48	48.00	0.00
-71.43	56	56.00	0.00
-57.14	92	92.00	0.00
-42.86	114	114.00	0.00
-28.57	99	99.00	0.00
-14.29	113	113.00	0.00
0.00	100	100.00	0.00
14.29	83	83.00	0.00
28.57	69	69.00	0.00
42.86	38	38.00	0.00
57.14	16	16.00	0.00
71.43	16	16.00	0.00
85.71	16	16.00	0.00
100.00	17	17.00	0.00
-100.00	32	32.00	0.00
-85.71	34	34.00	0.00
-71.43	57	57.00	0.00
-57.14	118	118.00	0.00
-42.86	115	115.00	0.00
-28.57	100	100.00	0.00
-14.29	95	95.00	0.00
0.00	95	95.00	0.00
14.29	70	70.00	0.00
28.57	54	54.00	0.00
42.86	29	29.00	0.00
57.14	22	22.00	0.00
71.43	19	19.00	0.00
85.71	13	13.00	0.00
100.00	16	16.00	0.00
-100.00	35	33.50	1.50
-85.71	41	37.50	3.50
-71.43	58	57.50	0.50
-57.14	98	108.00	10.00
-42.86	121	118.00	3.00
-28.57	116	108.00	8.00
-14.29	93	94.00	1.00
0.00	111	103.00	8.00
14.29	80	75.00	5.00
28.57	55	54.50	0.50
42.86	40	34.50	5.50
57.14	21	21.50	0.50
71.43	15	17.00	2.00
85.71	9	11.00	2.00
100.00	12	14.00	2.00
-100.00	29	32.00	1.73
-85.71	27	34.00	4.04
-71.43	52	55.67	1.86
-57.14	94	103.33	7.42
-42.86	115	117.00	2.00
-28.57	101	105.67	5.17
-14.29	112	100.00	6.03
0.00	77	94.33	9.82
14.29	63	71.00	4.93
28.57	65	58.00	3.51
42.86	53	40.67	6.94
57.14	16	19.67	1.86
71.43	15	16.33	1.33
85.71	17	13.00	2.31
100.00	13	13.67	1.20
-100.00	37	33.25	1.75
-85.71	47	37.25	4.33
-71.43	64	57.75	2.46
-57.14	103	103.25	5.25
-42.86	117	117.00	1.41
-28.57	107	106.00	3.67
-14.29	104	101.00	4.38
0.00	101	96.00	7.14
14.29	66	69.75	3.71
28.57	72	61.50	4.29
42.86	47	42.25	5.15
57.14	13	18.00	2.12
71.43	19	17.00	1.15
85.71	12	12.75	1.65
100.00	11	13.00	1.08
-100.00	18	30.20	3.34
-85.71	48	39.40	3.98
-71.43	70	60.20	3.10
-57.14	114	105.40	4.60
-42.86	137	121.00	4.15
-28.57	115	107.80	3.37
-14.29	126	106.00	6.04
0.00	82	93.20	6.20
14.29	91	74.00	5.13
28.57	47	58.60	4.41
42.86	41	42.00	4.00
57.14	30	20.40	2.91
71.43	19	17.40	0.98
85.71	4	11.00	2.17
100.00	8	12.00	1.30
