-75.00	15	15.00	0.00
-64.29	24	24.00	0.00
-53.57	35	35.00	0.00
-42.86	66	66.00	0.00
-32.14	79	79.00	0.00
-21.43	126	126.00	0.00
-10.71	152	152.00	0.00
0.00	170	170.00	0.00
10.71	149	149.00	0.00
21.43	112	112.00	0.00
32.14	104	104.00	0.00
42.86	89	89.00	0.00
53.57	63	63.00	0.00
64.29	33	33.00	0.00
75.00	22	22.00	0.00
-75.00	14	14.00	0.00
-64.29	28	28.00	0.00
-53.57	59	59.00	0.00
-42.86	48	48.00	0.00
-32.14	90	90.00	0.00
-21.43	132	132.00	0.00
-10.71	157	157.00	0.00
0.00	139	139.00	0.00
10.71	157	157.00	0.00
21.43	125	125.00	0.00
32.14	92	92.00	0.00
42.86	75	75.00	0.00
53.57	55	55.00	0.00
64.29	23	23.00	0.00
75.00	10	10.00	0.00
