-75.00	11	11.00	0.00
-64.29	22	22.00	0.00
-53.57	14	14.00	0.00
-42.86	24	24.00	0.00
-32.14	30	30.00	0.00
-21.43	40	40.00	0.00
-10.71	45	45.00	0.00
0.00	53	53.00	0.00
10.71	36	36.00	0.00
21.43	38	38.00	0.00
32.14	28	28.00	0.00
42.86	23	23.00	0.00
53.57	20	20.00	0.00
64.29	20	20.00	0.00
75.00	12	12.00	0.00
-75.00	14	14.00	0.00
-64.29	27	27.00	0.00
-53.57	12	12.00	0.00
-42.86	10	10.00	0.00
-32.14	24	24.00	0.00
-21.43	38	38.00	0.00
-10.71	46	46.00	0.00
0.00	38	38.00	0.00
10.71	50	50.00	0.00
21.43	22	22.00	0.00
32.14	32	32.00	0.00
42.86	21	21.00	0.00
53.57	20	20.00	0.00
64.29	11	11.00	0.00
75.00	6	6.00	0.00
-75.00	22	18.00	4.00
-64.29	9	18.00	9.00
-53.57	19	15.50	3.50
-42.86	15	12.50	2.50
-32.14	28	26.00	2.00
-21.43	33	35.50	2.50
-10.71	52	49.00	3.00
0.00	51	44.50	6.50
10.71	46	48.00	2.00
21.43	35	28.50	6.50
32.14	26	29.00	3.00
42.86	19	20.00	1.00
53.57	21	20.50	0.50
64.29	17	14.00	3.00
75.00	8	7.00	1.00
-75.00	19	18.33	2.33
-64.29	18	18.00	5.20
-53.57	17	16.00	2.08
-42.86	13	12.67	1.45
-32.14	26	26.00	1.15
-21.43	50	40.33	5.04
-10.71	54	50.67	2.40
0.00	51	46.67	4.33
10.71	47	47.67	1.20
21.43	29	28.67	3.76
32.14	25	27.67	2.19
42.86	14	18.00	2.08
53.57	22	21.00	0.58
64.29	14	14.00	1.73
75.00	7	7.00	0.58
-75.00	10	16.25	2.66
-64.29	12	16.50	3.97
-53.57	13	15.25	1.65
-42.86	13	12.75	1.03
-32.14	36	28.50	2.63
-21.43	42	40.75	3.59
-10.71	63	53.75	3.52
0.00	47	46.75	3.07
10.71	42	46.25	1.65
21.43	31	29.25	2.72
32.14	28	27.75	1.55
42.86	7	15.25	3.12
53.57	15	19.50	1.55
64.29	15	14.25	1.25
75.00	4	6.25	0.85
-75.00	14	15.80	2.11
-64.29	10	15.20	3.34
-53.57	13	14.80	1.36
-42.86	17	13.60	1.17
-32.14	23	27.40	2.32
-21.43	44	41.40	2.86
-10.71	45	52.00	3.24
0.00	40	45.40	2.73
10.71	39	44.80	1.93
21.43	37	30.80	2.62
32.14	17	25.60	2.46
42.86	15	15.20	2.42
53.57	14	18.40	1.63
64.29	11	13.60	1.17
75.00	12	7.40	1.33
